step,J,J_tensor,J_volume,J_reg,volume,grad_rms,step_rms,grey,perimeter,C11,C12,ms
151,1.05388,1.04401,1.9008e-09,0.00986935,0.499956,0.979688,0.0268069,0.0699692,0.277465,0.20156,0.0731845,1646.72
152,1.05224,1.04228,1.94713e-09,0.00995702,0.499955,0.979591,0.0268138,0.0696716,0.278169,0.201442,0.0731126,1645.96
153,1.05061,1.04057,1.99427e-09,0.0100441,0.499955,0.979468,0.0268205,0.0691566,0.278858,0.201328,0.0730419,1645.85
154,1.04899,1.03886,2.04367e-09,0.0101313,0.499954,0.979352,0.0268275,0.0685959,0.279542,0.201216,0.0729718,1652.64
155,1.04738,1.03716,2.09108e-09,0.0102188,0.499954,0.979237,0.0268349,0.0681572,0.280222,0.201106,0.0729019,1653.26
156,1.04578,1.03548,2.13764e-09,0.0103065,0.499953,0.979143,0.0268415,0.0677261,0.280899,0.200998,0.0728325,1651.82
157,1.04421,1.03381,2.18697e-09,0.0103938,0.499953,0.979048,0.0268471,0.0673103,0.281564,0.200892,0.0727638,1652.7
158,1.04264,1.03216,2.23233e-09,0.0104808,0.499952,0.97895,0.0268529,0.0670547,0.282217,0.200791,0.0726961,1652.46
159,1.04109,1.03052,2.27936e-09,0.0105676,0.499952,0.978833,0.0268585,0.0666847,0.282861,0.200696,0.0726293,1652.33
160,1.03954,1.02889,2.32943e-09,0.0106547,0.499951,0.978721,0.0268638,0.0663414,0.283503,0.200604,0.072563,1654.06
161,1.03801,1.02727,2.37912e-09,0.0107418,0.499951,0.978594,0.0268689,0.066082,0.284138,0.200513,0.0724964,1652.86
162,1.03648,1.02565,2.42954e-09,0.0108292,0.49995,0.978473,0.0268727,0.0656509,0.284772,0.200423,0.0724295,1651.71
163,1.03496,1.02405,2.48203e-09,0.0109167,0.49995,0.978343,0.0268774,0.0651169,0.2854,0.200334,0.0723626,1650.88
164,1.03345,1.02245,2.53379e-09,0.0110045,0.499949,0.978221,0.0268821,0.0647621,0.286026,0.200246,0.0722958,1651.99
165,1.03195,1.02086,2.58352e-09,0.0110925,0.499949,0.978118,0.0268868,0.0642776,0.286648,0.200159,0.0722292,1650.63
166,1.03047,1.01929,2.62953e-09,0.01118,0.499948,0.97802,0.0268911,0.0640564,0.287259,0.200073,0.0721625,1651.86
167,1.029,1.01773,2.68094e-09,0.0112668,0.499948,0.977905,0.026895,0.063797,0.287853,0.199987,0.0720951,1651.71
168,1.02754,1.01619,2.7289e-09,0.0113531,0.499947,0.977782,0.0268983,0.0632858,0.288435,0.199903,0.0720279,1651.38
169,1.02609,1.01465,2.77871e-09,0.0114387,0.499947,0.977632,0.0269024,0.0629501,0.289003,0.199821,0.0719603,1650.18
170,1.02465,1.01313,2.82658e-09,0.0115246,0.499946,0.977491,0.0269071,0.062748,0.289569,0.199741,0.0718927,1652.13
171,1.02322,1.01161,2.87439e-09,0.0116105,0.499946,0.977348,0.0269116,0.0625496,0.290129,0.199663,0.0718248,1651.77
172,1.0218,1.0101,2.92498e-09,0.0116958,0.499945,0.977177,0.0269163,0.06213,0.290677,0.199585,0.0717563,1659.25
173,1.02039,1.00861,2.97541e-09,0.0117815,0.499945,0.977002,0.0269213,0.0618477,0.291223,0.199507,0.0716869,1665.46
174,1.01899,1.00712,3.0272e-09,0.0118676,0.499944,0.976834,0.0269261,0.0615768,0.29177,0.199429,0.0716167,1671.3
175,1.0176,1.00565,3.08275e-09,0.0119539,0.499944,0.976665,0.0269312,0.0614128,0.292314,0.199352,0.0715458,1672.8
176,1.01623,1.00419,3.1334e-09,0.0120408,0.499944,0.976517,0.0269366,0.0609894,0.29286,0.199275,0.071474,1671.96
177,1.01487,1.00274,3.18972e-09,0.0121279,0.499943,0.976393,0.0269427,0.0606499,0.293403,0.1992,0.0714019,1673.26
178,1.01353,1.00131,3.24485e-09,0.0122147,0.499943,0.976265,0.0269478,0.06036,0.293937,0.199126,0.0713294,1673.28
179,1.0122,0.999895,3.30266e-09,0.0123016,0.499942,0.976158,0.026951,0.0601234,0.294467,0.199054,0.0712566,1672.53
180,1.01088,0.998492,3.35773e-09,0.0123876,0.499942,0.976029,0.0269547,0.0599403,0.294981,0.198984,0.0711836,1672.53
181,1.00957,0.997099,3.4137e-09,0.0124732,0.499941,0.975896,0.0269587,0.0597496,0.295486,0.198916,0.0711104,1673.02
182,1.00827,0.995714,3.47095e-09,0.0125586,0.499941,0.975765,0.0269616,0.0594788,0.295983,0.198851,0.0710373,1671.69
183,1.00698,0.994336,3.52679e-09,0.012644,0.49994,0.975635,0.0269628,0.0592728,0.296475,0.198788,0.0709638,1671.73
184,1.00569,0.992961,3.58582e-09,0.012729,0.49994,0.975501,0.0269637,0.0588722,0.296959,0.198728,0.0708902,1672.5
185,1.0044,0.991589,3.64309e-09,0.012814,0.499939,0.975379,0.0269653,0.058754,0.297438,0.198669,0.070816,1671.68
186,1.00312,0.990223,3.7122e-09,0.012899,0.499939,0.975274,0.0269649,0.0586433,0.297912,0.198611,0.070741,1665.06
187,1.00184,0.98886,3.77604e-09,0.0129832,0.499938,0.975157,0.0269641,0.0583954,0.298372,0.198553,0.0706652,1664.87
188,1.00057,0.9875,3.83367e-09,0.0130669,0.499938,0.975018,0.0269627,0.0581398,0.298824,0.198494,0.0705885,1664.66
189,0.999294,0.986143,3.8999e-09,0.0131507,0.499937,0.974874,0.026961,0.0579185,0.299273,0.198433,0.0705112,1664.22
190,0.998024,0.984789,3.9642e-09,0.0132349,0.499937,0.974725,0.0269581,0.057724,0.299722,0.198371,0.0704335,1677.04
191,0.996758,0.983438,4.02423e-09,0.0133195,0.499936,0.974578,0.0269548,0.0574303,0.300174,0.198307,0.0703548,1666.07
192,0.995491,0.982087,4.09432e-09,0.0134042,0.499936,0.974423,0.0269516,0.0572472,0.300622,0.198242,0.070275,1672.02
