step,J,J_tensor,J_volume,J_reg,volume,grey,C11,C12,nu_eff,C_fro,design_rms,dJ_rel,dC_rel,morph_frac,step_rms,grad_rms,simp_p,lambda_reg,frozen,conv_window,candidate,verified,ms,elasticity,termination
151,0.00407443,0.000211458,5.66063e-26,0.00386297,0.257587,0.664079,0.0500624,0.00485277,0.0883684,0.114051,0.000352599,3.1004e-06,0.000292151,0.000224129,0.000635036,0.0158759,2,0.2,1,0,0,0,3521.25,1,RUNNING
152,0.00407136,0.000211793,6.67728e-26,0.00385956,0.257587,0.664207,0.0500531,0.00486691,0.0886181,0.11404,0.000350845,3.0697e-06,0.000290181,0.000272157,0.000634036,0.0158509,2,0.2,1,0,0,0,3566.63,1,RUNNING
153,0.00406832,0.000212126,6.88253e-26,0.00385619,0.257587,0.664463,0.0500437,0.00488089,0.0888653,0.114029,0.000349117,3.03962e-06,0.00028824,0.000256148,0.000633051,0.0158263,2,0.2,1,0,0,0,3506.01,1,RUNNING
154,0.00406531,0.000212455,6.96139e-26,0.00385285,0.257587,0.664751,0.0500344,0.00489473,0.08911,0.114018,0.000347415,3.01013e-06,0.000286328,0.000176101,0.000632079,0.015802,2,0.2,1,0,0,0,3618.34,1,RUNNING
155,0.00406233,0.000212782,7.64835e-26,0.00384954,0.257587,0.664943,0.050025,0.00490843,0.0893523,0.114008,0.000345739,2.98123e-06,0.00028444,0.000224129,0.000631122,0.015778,2,0.2,1,0,0,0,3510.31,1,RUNNING
156,0.00405937,0.000213105,7.74692e-26,0.00384627,0.257587,0.665199,0.0500156,0.00492198,0.0895921,0.113997,0.000344088,2.95291e-06,0.000282578,0.000352203,0.000630177,0.0157544,2,0.2,1,0,0,0,3583.43,1,RUNNING
157,0.00405645,0.000213425,7.87413e-26,0.00384302,0.257587,0.665439,0.0500063,0.00493539,0.0898296,0.113987,0.000342462,2.92514e-06,0.000280743,0.000192111,0.000629246,0.0157311,2,0.2,1,0,0,0,3504.65,1,RUNNING
158,0.00405355,0.000213742,8.01181e-26,0.00383981,0.257587,0.665711,0.0499969,0.00494866,0.0900648,0.113976,0.000340861,2.89791e-06,0.000278932,0.000192111,0.000628327,0.0157082,2,0.2,1,0,0,0,3617.94,1,RUNNING
159,0.00405068,0.000214056,8.15067e-26,0.00383662,0.257587,0.665904,0.0499875,0.00496179,0.0902976,0.113966,0.000339283,2.87122e-06,0.000277145,0.000160092,0.000627421,0.0156855,2,0.2,1,0,0,0,3515.51,1,MAX_STEPS
# CERTIFIED_STEP 159 termination MAX_STEPS
# FINAL_RECOMPUTE unpenalized C_H of certified accepted h; not an iterate J_tensor=0.0568437 C11=0.195289 C12=0.0561716 nu_eff=0.223381 C_fro=0.441079 elasticity=1
