# Equal-accuracy ranking using admitted Heat3D per-step costs (N^3, fixed step count). row_kind=order is one stencil; row_kind=cheapest is the winner (fd_order 0 = spectral).
row_kind,family_id,hardware,target_l2,fd_order,content_fraction,relative_cost,beats_spectral
order,separable_exponential,lumi-g,1.0000000000e-02,4,1.0000000000e+00,5.3596483023e-02,yes
order,separable_exponential,lumi-g,1.0000000000e-02,6,1.0000000000e+00,7.0199233000e-02,yes
order,separable_exponential,lumi-g,1.0000000000e-02,8,1.0000000000e+00,8.7176129455e-02,yes
order,separable_exponential,lumi-g,1.0000000000e-02,12,1.0000000000e+00,1.1547095688e-01,yes
cheapest,separable_exponential,lumi-g,1.0000000000e-02,2,1.0000000000e+00,3.1475072491e-02,yes
order,separable_exponential,lumi-g,1.0000000000e-03,2,4.4828991558e-01,3.4937339560e-01,yes
order,separable_exponential,lumi-g,1.0000000000e-03,4,8.5296560667e-01,8.6365786595e-02,yes
order,separable_exponential,lumi-g,1.0000000000e-03,6,1.0000000000e+00,7.0199233000e-02,yes
order,separable_exponential,lumi-g,1.0000000000e-03,8,1.0000000000e+00,8.7176129455e-02,yes
order,separable_exponential,lumi-g,1.0000000000e-03,12,1.0000000000e+00,1.1547095688e-01,yes
cheapest,separable_exponential,lumi-g,1.0000000000e-03,6,1.0000000000e+00,7.0199233000e-02,yes
order,separable_exponential,lumi-g,1.0000000000e-04,2,1.4122220946e-01,1.1175262505e+01,no
order,separable_exponential,lumi-g,1.0000000000e-04,4,4.5449311763e-01,5.7089252828e-01,yes
order,separable_exponential,lumi-g,1.0000000000e-04,6,6.1991745375e-01,2.9466650690e-01,yes
order,separable_exponential,lumi-g,1.0000000000e-04,8,7.0859880230e-01,2.4501706937e-01,yes
order,separable_exponential,lumi-g,1.0000000000e-04,12,8.0466660693e-01,2.2162810256e-01,yes
cheapest,separable_exponential,lumi-g,1.0000000000e-04,12,8.0466660693e-01,2.2162810256e-01,yes
order,separable_exponential,lumi-g,1.0000000000e-05,2,4.4639747011e-02,3.5383563197e+02,no
order,separable_exponential,lumi-g,1.0000000000e-05,4,2.5136053233e-01,3.3747766075e+00,no
order,separable_exponential,lumi-g,1.0000000000e-05,6,4.0469134779e-01,1.0591576538e+00,no
order,separable_exponential,lumi-g,1.0000000000e-05,8,4.9610663535e-01,7.1395769001e-01,yes
order,separable_exponential,lumi-g,1.0000000000e-05,12,5.9067349342e-01,5.6031250869e-01,yes
cheapest,separable_exponential,lumi-g,1.0000000000e-05,12,5.9067349342e-01,5.6031250869e-01,yes
order,separable_exponential,lumi-g,1.0000000000e-06,2,1.4115529865e-02,1.1191162021e+04,no
order,separable_exponential,lumi-g,1.0000000000e-06,4,1.4055128380e-01,1.9303312520e+01,no
order,separable_exponential,lumi-g,1.0000000000e-06,6,2.7022129946e-01,3.5577352982e+00,no
order,separable_exponential,lumi-g,1.0000000000e-06,8,3.5889619391e-01,1.8857799972e+00,no
order,separable_exponential,lumi-g,1.0000000000e-06,12,4.5784082774e-01,1.2031761389e+00,no
cheapest,separable_exponential,lumi-g,1.0000000000e-06,0,1.0000000000e+00,1.0000000000e+00,no
order,separable_exponential,lumi-g,1.0000000000e-08,2,1.4116144720e-03,1.1189699731e+07,no
order,separable_exponential,lumi-g,1.0000000000e-08,4,4.4346124833e-02,6.1456704294e+02,no
order,separable_exponential,lumi-g,1.0000000000e-08,6,1.2375108782e-01,3.7041220774e+01,no
order,separable_exponential,lumi-g,1.0000000000e-08,8,1.9564465884e-01,1.1641088603e+01,no
order,separable_exponential,lumi-g,1.0000000000e-08,12,2.9165498846e-01,4.6544089362e+00,no
cheapest,separable_exponential,lumi-g,1.0000000000e-08,0,1.0000000000e+00,1.0000000000e+00,no
order,separable_exponential,lumi-c,1.0000000000e-02,2,1.0000000000e+00,1.0293792939e-01,yes
order,separable_exponential,lumi-c,1.0000000000e-02,8,1.0000000000e+00,2.7004408794e-01,yes
order,separable_exponential,lumi-c,1.0000000000e-02,12,1.0000000000e+00,3.2501104008e-01,yes
cheapest,separable_exponential,lumi-c,1.0000000000e-02,2,1.0000000000e+00,1.0293792939e-01,yes
order,separable_exponential,lumi-c,1.0000000000e-03,2,4.4828991558e-01,1.1426113136e+00,no
order,separable_exponential,lumi-c,1.0000000000e-03,8,1.0000000000e+00,2.7004408794e-01,yes
order,separable_exponential,lumi-c,1.0000000000e-03,12,1.0000000000e+00,3.2501104008e-01,yes
cheapest,separable_exponential,lumi-c,1.0000000000e-03,8,1.0000000000e+00,2.7004408794e-01,yes
order,separable_exponential,lumi-c,1.0000000000e-04,2,1.4122220946e-01,3.6548236164e+01,no
order,separable_exponential,lumi-c,1.0000000000e-04,8,7.0859880230e-01,7.5898541773e-01,yes
order,separable_exponential,lumi-c,1.0000000000e-04,12,8.0466660693e-01,6.2380690410e-01,yes
cheapest,separable_exponential,lumi-c,1.0000000000e-04,12,8.0466660693e-01,6.2380690410e-01,yes
order,separable_exponential,lumi-c,1.0000000000e-05,2,4.4639747011e-02,1.1572048741e+03,no
order,separable_exponential,lumi-c,1.0000000000e-05,8,4.9610663535e-01,2.2116152029e+00,no
order,separable_exponential,lumi-c,1.0000000000e-05,12,5.9067349342e-01,1.5770870541e+00,no
cheapest,separable_exponential,lumi-c,1.0000000000e-05,0,1.0000000000e+00,1.0000000000e+00,no
order,separable_exponential,lumi-c,1.0000000000e-06,2,1.4115529865e-02,3.6600234876e+04,no
order,separable_exponential,lumi-c,1.0000000000e-06,8,3.5889619391e-01,5.8415502339e+00,no
order,separable_exponential,lumi-c,1.0000000000e-06,12,4.5784082774e-01,3.3865271310e+00,no
cheapest,separable_exponential,lumi-c,1.0000000000e-06,0,1.0000000000e+00,1.0000000000e+00,no
order,separable_exponential,lumi-c,1.0000000000e-08,2,1.4116144720e-03,3.6595452515e+07,no
order,separable_exponential,lumi-c,1.0000000000e-08,8,1.9564465884e-01,3.6060412111e+01,no
order,separable_exponential,lumi-c,1.0000000000e-08,12,2.9165498846e-01,1.3100560784e+01,no
cheapest,separable_exponential,lumi-c,1.0000000000e-08,0,1.0000000000e+00,1.0000000000e+00,no
