# Parseval spatial L2 error vs occupancy f for each family. fd_order 0 is the spectral operator (identically zero).
family_id,fd_order,content_fraction,N,dim,tau,l2_error
isotropic_tophat,8,3.5000000000e-01,64,3,1.0000000000e+00,3.0178397780e-05
isotropic_tophat,12,3.5000000000e-01,64,3,1.0000000000e+00,1.0352237678e-06
isotropic_tophat,0,4.0000000000e-01,64,3,1.0000000000e+00,0
isotropic_tophat,2,4.0000000000e-01,64,3,1.0000000000e+00,1.8667452622e-02
isotropic_tophat,4,4.0000000000e-01,64,3,1.0000000000e+00,2.2943025481e-03
isotropic_tophat,6,4.0000000000e-01,64,3,1.0000000000e+00,3.9168040330e-04
isotropic_tophat,8,4.0000000000e-01,64,3,1.0000000000e+00,7.8476194521e-05
isotropic_tophat,12,4.0000000000e-01,64,3,1.0000000000e+00,4.0497894997e-06
isotropic_tophat,0,4.5000000000e-01,64,3,1.0000000000e+00,0
isotropic_tophat,2,4.5000000000e-01,64,3,1.0000000000e+00,2.3849108803e-02
isotropic_tophat,4,4.5000000000e-01,64,3,1.0000000000e+00,3.6693458704e-03
isotropic_tophat,6,4.5000000000e-01,64,3,1.0000000000e+00,7.8695135779e-04
isotropic_tophat,8,4.5000000000e-01,64,3,1.0000000000e+00,1.9890985362e-04
isotropic_tophat,12,4.5000000000e-01,64,3,1.0000000000e+00,1.6533094976e-05
isotropic_tophat,0,5.0000000000e-01,64,3,1.0000000000e+00,0
isotropic_tophat,2,5.0000000000e-01,64,3,1.0000000000e+00,2.8990483459e-02
isotropic_tophat,4,5.0000000000e-01,64,3,1.0000000000e+00,5.2731458836e-03
isotropic_tophat,6,5.0000000000e-01,64,3,1.0000000000e+00,1.3240913460e-03
isotropic_tophat,8,5.0000000000e-01,64,3,1.0000000000e+00,3.8908743045e-04
isotropic_tophat,12,5.0000000000e-01,64,3,1.0000000000e+00,4.3028035166e-05
isotropic_tophat,0,5.5000000000e-01,64,3,1.0000000000e+00,0
isotropic_tophat,2,5.5000000000e-01,64,3,1.0000000000e+00,3.5523692826e-02
isotropic_tophat,4,5.5000000000e-01,64,3,1.0000000000e+00,7.7478578792e-03
isotropic_tophat,6,5.5000000000e-01,64,3,1.0000000000e+00,2.3288757428e-03
isotropic_tophat,8,5.5000000000e-01,64,3,1.0000000000e+00,8.1866654803e-04
isotropic_tophat,12,5.5000000000e-01,64,3,1.0000000000e+00,1.2951767785e-04
isotropic_tophat,0,6.0000000000e-01,64,3,1.0000000000e+00,0
isotropic_tophat,2,6.0000000000e-01,64,3,1.0000000000e+00,4.1720657718e-02
isotropic_tophat,4,6.0000000000e-01,64,3,1.0000000000e+00,1.0434851830e-02
isotropic_tophat,6,6.0000000000e-01,64,3,1.0000000000e+00,3.5758101410e-03
isotropic_tophat,8,6.0000000000e-01,64,3,1.0000000000e+00,1.4299667513e-03
isotropic_tophat,12,6.0000000000e-01,64,3,1.0000000000e+00,2.9240549523e-04
isotropic_tophat,0,6.5000000000e-01,64,3,1.0000000000e+00,0
isotropic_tophat,2,6.5000000000e-01,64,3,1.0000000000e+00,4.9005049856e-02
isotropic_tophat,4,6.5000000000e-01,64,3,1.0000000000e+00,1.3979183477e-02
isotropic_tophat,6,6.5000000000e-01,64,3,1.0000000000e+00,5.4175430753e-03
isotropic_tophat,8,6.5000000000e-01,64,3,1.0000000000e+00,2.4375801018e-03
isotropic_tophat,12,6.5000000000e-01,64,3,1.0000000000e+00,6.2405409510e-04
isotropic_tophat,0,7.0000000000e-01,64,3,1.0000000000e+00,0
isotropic_tophat,2,7.0000000000e-01,64,3,1.0000000000e+00,5.6925046712e-02
isotropic_tophat,4,7.0000000000e-01,64,3,1.0000000000e+00,1.8342580638e-02
isotropic_tophat,6,7.0000000000e-01,64,3,1.0000000000e+00,7.9697046418e-03
isotropic_tophat,8,7.0000000000e-01,64,3,1.0000000000e+00,4.0056618397e-03
isotropic_tophat,12,7.0000000000e-01,64,3,1.0000000000e+00,1.2736039124e-03
isotropic_tophat,0,7.5000000000e-01,64,3,1.0000000000e+00,0
isotropic_tophat,2,7.5000000000e-01,64,3,1.0000000000e+00,6.4765267299e-02
isotropic_tophat,4,7.5000000000e-01,64,3,1.0000000000e+00,2.3080751686e-02
isotropic_tophat,6,7.5000000000e-01,64,3,1.0000000000e+00,1.0974578597e-02
isotropic_tophat,8,7.5000000000e-01,64,3,1.0000000000e+00,5.9975266499e-03
isotropic_tophat,12,7.5000000000e-01,64,3,1.0000000000e+00,2.2261513876e-03
isotropic_tophat,0,8.0000000000e-01,64,3,1.0000000000e+00,0
isotropic_tophat,2,8.0000000000e-01,64,3,1.0000000000e+00,7.3824892766e-02
isotropic_tophat,4,8.0000000000e-01,64,3,1.0000000000e+00,2.9136704909e-02
isotropic_tophat,6,8.0000000000e-01,64,3,1.0000000000e+00,1.5199888887e-02
isotropic_tophat,8,8.0000000000e-01,64,3,1.0000000000e+00,9.0679183212e-03
isotropic_tophat,12,8.0000000000e-01,64,3,1.0000000000e+00,3.9791315279e-03
isotropic_tophat,0,8.5000000000e-01,64,3,1.0000000000e+00,0
isotropic_tophat,2,8.5000000000e-01,64,3,1.0000000000e+00,8.2798759135e-02
isotropic_tophat,4,8.5000000000e-01,64,3,1.0000000000e+00,3.5630460758e-02
isotropic_tophat,6,8.5000000000e-01,64,3,1.0000000000e+00,2.0055482992e-02
isotropic_tophat,8,8.5000000000e-01,64,3,1.0000000000e+00,1.2832950204e-02
isotropic_tophat,12,8.5000000000e-01,64,3,1.0000000000e+00,6.4104343084e-03
isotropic_tophat,0,9.0000000000e-01,64,3,1.0000000000e+00,0
isotropic_tophat,2,9.0000000000e-01,64,3,1.0000000000e+00,9.2519127218e-02
isotropic_tophat,4,9.0000000000e-01,64,3,1.0000000000e+00,4.3185846790e-02
isotropic_tophat,6,9.0000000000e-01,64,3,1.0000000000e+00,2.6061073054e-02
isotropic_tophat,8,9.0000000000e-01,64,3,1.0000000000e+00,1.7753041396e-02
isotropic_tophat,12,9.0000000000e-01,64,3,1.0000000000e+00,9.9195976924e-03
isotropic_exponential,0,1.0000000000e-01,64,3,1.0000000000e+00,0
isotropic_exponential,2,1.0000000000e-01,64,3,1.0000000000e+00,5.7660173473e-05
isotropic_exponential,4,1.0000000000e-01,64,3,1.0000000000e+00,3.1810038738e-07
isotropic_exponential,6,1.0000000000e-01,64,3,1.0000000000e+00,3.6982582399e-09
isotropic_exponential,8,1.0000000000e-01,64,3,1.0000000000e+00,7.0622416911e-11
isotropic_exponential,12,1.0000000000e-01,64,3,1.0000000000e+00,7.0891605254e-14
isotropic_exponential,0,1.5000000000e-01,64,3,1.0000000000e+00,0
isotropic_exponential,2,1.5000000000e-01,64,3,1.0000000000e+00,1.9214875980e-04
isotropic_exponential,4,1.5000000000e-01,64,3,1.0000000000e+00,2.3767808479e-06
isotropic_exponential,6,1.5000000000e-01,64,3,1.0000000000e+00,6.1650326676e-08
isotropic_exponential,8,1.5000000000e-01,64,3,1.0000000000e+00,2.5959140355e-09
isotropic_exponential,12,1.5000000000e-01,64,3,1.0000000000e+00,1.2369002846e-11
isotropic_exponential,0,2.0000000000e-01,64,3,1.0000000000e+00,0
isotropic_exponential,2,2.0000000000e-01,64,3,1.0000000000e+00,3.9353674506e-04
isotropic_exponential,4,2.0000000000e-01,64,3,1.0000000000e+00,8.5801514539e-06
isotropic_exponential,6,2.0000000000e-01,64,3,1.0000000000e+00,3.8903792194e-07
isotropic_exponential,8,2.0000000000e-01,64,3,1.0000000000e+00,2.8352902141e-08
isotropic_exponential,12,2.0000000000e-01,64,3,1.0000000000e+00,3.9109966143e-10
isotropic_exponential,0,2.5000000000e-01,64,3,1.0000000000e+00,0
isotropic_exponential,2,2.5000000000e-01,64,3,1.0000000000e+00,6.4697361652e-04
isotropic_exponential,4,2.5000000000e-01,64,3,1.0000000000e+00,2.1789330136e-05
isotropic_exponential,6,2.5000000000e-01,64,3,1.0000000000e+00,1.5111004325e-06
isotropic_exponential,8,2.5000000000e-01,64,3,1.0000000000e+00,1.6638625229e-07
isotropic_exponential,12,2.5000000000e-01,64,3,1.0000000000e+00,5.0282237494e-09
isotropic_exponential,0,3.0000000000e-01,64,3,1.0000000000e+00,0
isotropic_exponential,2,3.0000000000e-01,64,3,1.0000000000e+00,9.5035411055e-04
isotropic_exponential,4,3.0000000000e-01,64,3,1.0000000000e+00,4.5466136167e-05
isotropic_exponential,6,3.0000000000e-01,64,3,1.0000000000e+00,4.4258542412e-06
isotropic_exponential,8,3.0000000000e-01,64,3,1.0000000000e+00,6.7433162342e-07
isotropic_exponential,12,3.0000000000e-01,64,3,1.0000000000e+00,3.7257924076e-08
isotropic_exponential,0,3.5000000000e-01,64,3,1.0000000000e+00,0
isotropic_exponential,2,3.5000000000e-01,64,3,1.0000000000e+00,1.3042886522e-03
isotropic_exponential,4,3.5000000000e-01,64,3,1.0000000000e+00,8.3621584547e-05
isotropic_exponential,6,3.5000000000e-01,64,3,1.0000000000e+00,1.0758469432e-05
isotropic_exponential,8,3.5000000000e-01,64,3,1.0000000000e+00,2.1321971192e-06
isotropic_exponential,12,3.5000000000e-01,64,3,1.0000000000e+00,1.8969852618e-07
